layer,explained_var
0,0.925083577632904
1,0.8646324276924133
2,0.8451319932937622
3,0.8291246891021729
4,0.825682520866394
5,0.8227849006652832
6,0.7598832249641418
7,0.7375631928443909
8,0.7054028511047363
9,0.7017415761947632
10,0.7117539644241333
11,0.7131841778755188
12,0.7033064365386963
13,0.7192686200141907
14,0.7319512963294983
15,0.7252480983734131
16,0.7242732048034668
17,0.7310646772384644
18,0.7337926626205444
19,0.7372181415557861
20,0.7306904196739197
21,0.723064661026001
22,0.7332325577735901
23,0.7298715114593506
24,0.7214271426200867
25,0.7280941009521484
26,0.722359299659729
27,0.7211769819259644
28,0.7102455496788025
29,0.6984575986862183
30,0.6896406412124634
31,0.6791732311248779
32,0.6746262311935425
33,0.6601235866546631
34,0.6639543175697327
35,0.728981614112854
