layer,explained_var
0,0.8876840472221375
1,0.8151319026947021
2,0.7919331192970276
3,0.7815309762954712
4,0.7803197503089905
5,0.7830915451049805
6,0.721790075302124
7,0.7026004195213318
8,0.6801964044570923
9,0.673194169998169
10,0.6821128129959106
11,0.6827479600906372
12,0.6737735867500305
13,0.689446210861206
14,0.7046937942504883
15,0.6974352598190308
16,0.6956667900085449
17,0.6995128393173218
18,0.7069114446640015
19,0.7145956754684448
20,0.7100223302841187
21,0.7026571035385132
22,0.7099639177322388
23,0.7007894515991211
24,0.6905419230461121
25,0.6958236694335938
26,0.6902997493743896
27,0.6902197599411011
28,0.6787598133087158
29,0.6662975549697876
30,0.6584118008613586
31,0.647862434387207
32,0.6393405199050903
33,0.6251136064529419
34,0.6313632726669312
35,0.6984696388244629
