layer,explained_var
0,0.9851503372192383
1,0.9037420749664307
2,0.9228332042694092
3,0.8963139057159424
4,0.8810513019561768
5,0.8979358077049255
6,0.886456310749054
7,0.9114017486572266
8,0.9529660940170288
9,0.9515600204467773
10,0.9338231682777405
11,0.9085305333137512
12,0.8869705200195312
13,0.8864328265190125
14,0.8895315527915955
15,0.8926403522491455
16,0.8714653849601746
17,0.893176794052124
18,0.9006772041320801
19,0.8941259384155273
20,0.8588587641716003
21,0.8603134155273438
22,0.842918336391449
23,0.8298710584640503
24,0.8368855118751526
25,0.8292189836502075
26,0.8356739282608032
27,0.8449337482452393
28,0.8656845092773438
29,0.8946759700775146
30,0.8868889212608337
31,0.882897138595581
32,0.877840518951416
33,0.8731895685195923
34,0.8677804470062256
35,0.8622112274169922
36,0.8523200750350952
37,0.8422886729240417
38,0.8296471834182739
39,0.8133909106254578
40,0.8020988702774048
41,0.8096444606781006
